Id,Date,Satellite,Sensor,Cascading output,Path
True,2017-09-15T09:50:00,Sentinel 2,MSI,Thermal anomalies,20230320T094039_20230320T094852_T33SVB.jpg
True,2017-09-17T09:40:00,Sentinel 2,MSI,Thermal anomalies,20180518T095029_20180518T095747_T33SVB.jpg
True,2017-09-22T09:40:00,Sentinel 2,MSI,Thermal anomalies,20221130T094249_20221130T094249_T33SVB.jpg
True,2017-09-30T09:50:00,Sentinel 2,MSI,Thermal anomalies,20190823T094031_20190823T094536_T33SVB.jpg
True,2017-10-10T09:50:00,Sentinel 2,MSI,Thermal anomalies,20180430T094031_20180430T094543_T33SVB.jpg
True,2017-10-12T09:40:00,Sentinel 2,MSI,Thermal anomalies,20210114T094341_20210114T094349_T33SVB.jpg
True,2017-10-15T09:50:00,Sentinel 2,MSI,Thermal anomalies,20180712T095031_20180712T095823_T33SVB.jpg
True,2017-10-20T09:50:00,Sentinel 2,MSI,Thermal anomalies,20201029T095131_20201029T095402_T33SVB.jpg
True,2017-10-22T09:40:00,Sentinel 2,MSI,Thermal anomalies,20210921T094031_20210921T094349_T33SVB.jpg
True,2017-10-25T09:51:00,Sentinel 2,MSI,Thermal anomalies,20200325T094029_20200325T094922_T33SVB.jpg
True,2017-10-27T09:40:00,Sentinel 2,MSI,Thermal anomalies,20170722T095029_20170722T095521_T33SVB.jpg
True,2017-10-30T09:51:00,Sentinel 2,MSI,Thermal anomalies,20190214T094111_20190214T094826_T33SVB.jpg
True,2017-11-01T09:41:00,Sentinel 2,MSI,Thermal anomalies,20180622T095031_20180622T095438_T33SVB.jpg
True,2017-11-04T09:52:00,Sentinel 2,MSI,Thermal anomalies,20180617T095029_20180617T095028_T33SVB.jpg
True,2017-11-09T09:52:00,Sentinel 2,MSI,Thermal anomalies,20200402T095031_20200402T095832_T33SVB.jpg
True,2017-11-16T09:42:00,Sentinel 2,MSI,Thermal anomalies,20200628T094041_20200628T094036_T33SVB.jpg
True,2017-11-19T09:52:00,Sentinel 2,MSI,Thermal anomalies,20190413T095039_20190413T095103_T33SVB.jpg
True,2017-11-21T09:43:00,Sentinel 2,MSI,Thermal anomalies,20210601T095029_20210601T095030_T33SVB.jpg
True,2017-11-24T09:53:00,Sentinel 2,MSI,Thermal anomalies,20190207T095151_20190207T095736_T33SVB.jpg
True,2017-11-29T09:53:00,Sentinel 2,MSI,Thermal anomalies,20201230T094319_20201230T094317_T33SVB.jpg
True,2017-12-04T09:54:00,Sentinel 2,MSI,Thermal anomalies,20171015T095031_20171015T095944_T33SVB.jpg
True,2017-12-06T09:43:00,Sentinel 2,MSI,Thermal anomalies,20211205T094259_20211205T094300_T33SVB.jpg
True,2017-12-11T09:44:00,Sentinel 2,MSI,Thermal anomalies,20190714T094041_20190714T094036_T33SVB.jpg
True,2017-12-14T09:54:00,Sentinel 2,MSI,Thermal anomalies,20210527T095031_20210527T095359_T33SVB.jpg
True,2017-12-19T09:54:00,Sentinel 2,MSI,Thermal anomalies,20200115T094239_20200115T094730_T33SVB.jpg
True,2017-12-21T09:44:00,Sentinel 2,MSI,No activity,20180530T094031_20180530T095013_T33SVB.jpg
True,2017-12-24T09:54:00,Sentinel 2,MSI,Thermal anomalies,20210929T095029_20210929T095028_T33SVB.jpg
True,2017-12-26T09:43:00,Sentinel 2,MSI,No activity,20190602T095039_20190602T095935_T33SVB.jpg
True,2018-01-03T09:54:00,Sentinel 2,MSI,Thermal anomalies,20170821T095029_20170821T095453_T33SVB.jpg
True,2018-01-05T09:43:00,Sentinel 2,MSI,Thermal anomalies,20230514T094031_20230514T094031_T33SVB.jpg
True,2018-01-08T09:53:00,Sentinel 2,MSI,Thermal anomalies,20220109T094401_20220109T094357_T33SVB.jpg
True,2018-01-18T09:53:00,Sentinel 2,MSI,Thermal anomalies,20210409T094029_20210409T094027_T33SVB.jpg
True,2018-01-20T09:43:00,Sentinel 2,MSI,No activity,20220708T094041_20220708T094044_T33SVB.jpg
True,2018-01-23T09:53:00,Sentinel 2,MSI,Thermal anomalies,20220623T094039_20220623T094035_T33SVB.jpg
True,2018-01-25T09:42:00,Sentinel 2,MSI,Thermal anomalies,20220303T095031_20220303T095402_T33SVB.jpg
True,2018-01-28T09:52:00,Sentinel 2,MSI,Thermal anomalies,20190301T094029_20190301T094340_T33SVB.jpg
True,2018-01-30T09:42:00,Sentinel 2,MSI,Thermal anomalies,20200723T094039_20200723T094453_T33SVB.jpg
True,2018-02-04T09:41:00,Sentinel 2,MSI,No activity,20221026T094101_20221026T094348_T33SVB.jpg
True,2018-02-12T09:51:00,Sentinel 2,MSI,Thermal anomalies,20170724T094031_20170724T094817_T33SVB.jpg
True,2018-02-17T09:50:00,Sentinel 2,MSI,Thermal anomalies,20230216T095101_20230216T095321_T33SVB.jpg
True,2018-02-24T09:40:00,Sentinel 2,MSI,Thermal anomalies,20210827T094029_20210827T094028_T33SVB.jpg
True,2018-03-01T09:40:00,Sentinel 2,MSI,No activity,20180704T094029_20180704T094029_T33SVB.jpg
True,2018-03-11T09:40:00,Sentinel 2,MSI,No activity,20220223T094029_20220223T094623_T33SVB.jpg
True,2018-03-16T09:40:00,Sentinel 2,MSI,No activity,20190430T094039_20190430T095008_T33SVB.jpg
True,2018-03-29T09:50:00,Sentinel 2,MSI,Thermal anomalies,20220713T093549_20220713T093844_T33SVB.jpg
True,2018-03-31T09:40:00,Sentinel 2,MSI,No activity,20211128T095249_20211128T095354_T33SVB.jpg
True,2018-04-03T09:50:00,Sentinel 2,MSI,Thermal anomalies,20180324T095031_20180324T095537_T33SVB.jpg
True,2018-04-05T09:40:00,Sentinel 2,MSI,No activity,20210107T095401_20210107T095403_T33SVB.jpg
True,2018-04-08T09:50:00,Sentinel 2,MSI,Thermal anomalies,20210129T094139_20210129T094142_T33SVB.jpg
True,2018-04-13T09:50:00,Sentinel 2,MSI,Thermal anomalies,20211024T095101_20211024T095403_T33SVB.jpg
True,2018-04-23T09:50:00,Sentinel 2,MSI,Thermal anomalies,20190418T095031_20190418T095032_T33SVB.jpg
True,2018-04-25T09:40:00,Sentinel 2,MSI,Thermal anomalies,20180619T094031_20180619T094634_T33SVB.jpg
True,2018-04-28T09:50:00,Sentinel 2,MSI,Thermal anomalies,20190508T095031_20190508T095902_T33SVB.jpg
True,2018-06-07T09:50:00,Sentinel 2,MSI,Thermal anomalies,20190712T095039_20190712T095107_T33SVB.jpg
True,2018-06-09T09:40:00,Sentinel 2,MSI,Thermal anomalies,20211029T095029_20211029T095255_T33SVB.jpg
True,2018-06-12T09:50:00,Sentinel 2,MSI,Thermal anomalies,20210802T094031_20210802T094349_T33SVB.jpg
True,2018-07-02T09:50:00,Sentinel 2,MSI,Thermal anomalies,20210713T094031_20210713T094349_T33SVB.jpg
True,2018-07-04T09:40:00,Sentinel 2,MSI,Thermal anomalies,20220906T093601_20220906T093851_T33SVB.jpg
